marca;preço
"Notebook Acer Aspire 5 Intel Core i5 10A 10210U 4.20Ghz, 8GB RAM, SSD 256GB, Tela 15.6"" Full HD, Placa de vídeo Geforce MX 250 2GB GDDR5, Windows 11, Prata - A515-54G-55HW";R$ 3.790,50
Notebook Acer Aspire 3, Intel Celeron N4020 Dual Core, 4GB, SSD 128GB, 15.6 HD, Windows 11, Preto - A315-34-C2BV;R$ 1.747,08
Fonte Universal Altomex, 120W, Para Notebook, 9 Pinos, Bivolt;R$ 45,90
Notebook Lenovo IdeaPad 3I, I3-1115G4, 4GB RAM, SSD 128GB, Tela 15.6 FULL HD, Windows 11 - 82MD000FBR;R$ 2.207,08
Fonte 19.5v 3.34a 65w 4.5 Mm X 3.0 Mm Para Dell La65ns2-01;R$ 68,30
Carregador Fy P/ Lenovo 65W, Ac Adapter (Br) Ideapad 310/320/330/330s/s145/c340 E Yoga 510/520;R$ 105,90
Notebook Samsung Galaxy Book2 360, Intel Core I7, RAM 16GB, SSD 512GB, Intel Iris Xe Graphics, 13.3pol FHD, Windows 11 Home, Grafite - Np730qed-ks2br;R$ 8.644,05
Notebook HP Compaq Presario 427 Intel Pentium N3700, 4GB RAM, SSD 240GB, 14 Polegadas LED HD TN, Intel HD Graphics, Linux, Cinza;R$ 1.149,00
Notebook Gamer Gigabyte Aorus 17 XE5 Intel Core i7-12700H, 8GB RAM, RTX 3070Ti, 1TB SSD, 17.3, Win 11 Home, Cinza - AORUS17XE4-73BR514SH;R$ 12.999,99
Notebook Lenovo IdeaPad Flex 5i Intel Core i7-1255U, 8GB RAM, SSD 256GB, 14 Full HD, Iris Xe Graphics, Windows 11, Touchscreen, Cinza - 82TA0001BR;R$ 5.899,99
Notebook Asus Intel Core i3-1115g4, 4GB RAM, SSD 256GB, 15,6', UHD Graphics, Windows 11 Home, Cinza - X515EA-EJ1320W;R$ 2.599,99
Notebook Gamer Lenovo Gaming 3i Intel Core i7-10750H, 8GB RAM, SSD 512GB, GeForce GTX 1650, 15.6 Full HD, Linux, Chameleon Blue - 82CGS00200;R$ 5.599,99
Notebook Dell XPS 13 Plus Ultraportátil Intel Core i7-1260P EVO, 16GB RAM, SSD 1TB, 13.4 Full HD, Iris Xe, Windows 11, Cinza Grafite - X13-i1200-A10;R$ 11.499,99
Notebook Asus AMD Ryzen 7-3700U, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Cinza - M515DA-BR1454W;R$ 4.399,99
Notebook Asus Intel Celeron Dual Core N4020, 4GB RAM, SSD 256GB, 15.6 HD, Windows 11 Home, Cinza - X515MA-BR765W;R$ 1.729,99
Notebook Gigabyte AERO 15 OLED - NVIDIA® Studio GeForce RTX 3060, Intel Core i7-11800H, 16GB, SSD 512GB, 15.6 OLED 4K, Win 10 Pro - KD-72BR623SP;R$ 10.899,99
Notebook Ideapad Gaming 3 R7-5800h, 16GB, 512GBSSD Gtx 1650 4GB 15.6 PolegadasFhd- W11 82mj0000br;R$ 5.799,00
Notebook Acer Swift 3, Intel Core i5, 8GB, 1TB SSD, Tela 14 Full HD, Windows 11 - SF314-511-561N;R$ 4.049,10
